,year,euro,version,speed,vehicle,NOx (g/km/s/veh),PM10 (g/km/s/veh),PM2.5 (g/km/s/veh)
93,2013,1,7.0,90,3. Diesel Cars,7.25782365407e-06,1.12304201139e-06,9.31667386794e-07
94,2013,1,7.0,90,4. LGV,1.25964934341e-05,1.48782544329e-06,1.22192602703e-06
95,2013,1,7.0,90,5. Buses and Coaches,6.61425874569e-05,3.46319893652e-06,2.70673172054e-06
96,2013,1,7.0,90,6. Rigid HGVs,6.2852865085e-05,3.17992112286e-06,2.45312480729e-06
97,2013,1,7.0,90,7. Articulated HGVs,8.81594896782e-05,4.64347203888e-06,3.77568926524e-06
98,2013,1,7.0,100,1. Motorcycles,5.55183669348e-06,3.72371033563e-07,2.91472616709e-07
99,2013,1,7.0,100,2. Petrol Cars,9.6643325378e-06,3.39230609825e-07,1.8704656668e-07
100,2013,1,7.0,100,3. Diesel Cars,7.79042238719e-06,1.30289413391e-06,1.10252688046e-06
101,2013,1,7.0,100,4. LGV,1.41529544635e-05,1.80351389645e-06,1.52183008595e-06
102,2013,1,7.0,100,5. Buses and Coaches,6.58059507259e-05,3.41840791407e-06,2.66418032879e-06
103,2013,1,7.0,100,6. Rigid HGVs,6.2852865085e-05,3.17992112286e-06,2.45312480729e-06
104,2013,1,7.0,100,7. Articulated HGVs,8.81594896782e-05,4.64347203888e-06,3.77568926524e-06
105,2013,1,7.0,110,1. Motorcycles,6.1765654209e-06,3.72371033563e-07,2.91472616709e-07
106,2013,1,7.0,110,2. Petrol Cars,1.16889104902e-05,3.39251386094e-07,1.87066291346e-07
107,2013,1,7.0,110,3. Diesel Cars,8.45168142405e-06,1.52417339905e-06,1.31274225623e-06
108,2013,1,7.0,110,4. LGV,1.6240603145e-05,2.19655885303e-06,1.8952227947e-06
109,2013,1,7.0,110,5. Buses and Coaches,6.57087075524e-05,3.39895541401e-06,2.64570053332e-06
110,2013,1,7.0,110,6. Rigid HGVs,6.2852865085e-05,3.17992112286e-06,2.45312480729e-06
111,2013,1,7.0,110,7. Articulated HGVs,8.81594896782e-05,4.64347203888e-06,3.77568926524e-06
112,2013,1,7.0,120,1. Motorcycles,6.87496321916e-06,3.72371033563e-07,2.91472616709e-07
113,2013,1,7.0,120,2. Petrol Cars,1.41060572787e-05,3.39296491347e-07,1.87109151284e-07
114,2013,1,7.0,120,3. Diesel Cars,9.24752930587e-06,1.78687992047e-06,1.56231340043e-06
115,2013,1,7.0,120,4. LGV,1.63388485817e-05,2.21226446229e-06,1.91014328266e-06
116,2013,1,7.0,120,5. Buses and Coaches,6.57087075524e-05,3.39895541401e-06,2.64570053332e-06
117,2013,1,7.0,120,6. Rigid HGVs,6.2852865085e-05,3.17992112286e-06,2.45312480729e-06
118,2013,1,7.0,120,7. Articulated HGVs,8.81594896782e-05,4.64347203888e-06,3.77568926524e-06
0,2013,2,7.0,5,1. Motorcycles,2.32584557125e-06,2.21446228466e-07,1.48094045471e-07
1,2013,2,7.0,5,2. Petrol Cars,6.64230992697e-06,3.50426716977e-07,1.97682851422e-07
2,2013,2,7.0,5,3. Diesel Cars,1.56788701133e-05,9.99203734864e-07,8.14021007045e-07
3,2013,2,7.0,5,4. LGV,1.95572829398e-05,1.73691501004e-06,1.45856120071e-06
4,2013,2,7.0,5,5. Buses and Coaches,0.000212924860534,4.84978590976e-06,4.0239892769e-06
5,2013,2,7.0,5,6. Rigid HGVs,0.000146727776155,3.71064038518e-06,2.95730797006e-06
6,2013,2,7.0,5,7. Articulated HGVs,0.000250963435974,6.08298978477e-06,5.14323119205e-06
7,2013,2,7.0,10,1. Motorcycles,1.9880567379e-06,2.21446228466e-07,1.48094045471e-07
8,2013,2,7.0,10,2. Petrol Cars,6.27610825177e-06,3.50405599647e-07,1.97662799906e-07
9,2013,2,7.0,10,3. Diesel Cars,1.56788701133e-05,9.99203734864e-07,8.14021007045e-07
10,2013,2,7.0,10,4. LGV,1.95566135517e-05,1.73691501004e-06,1.45856120071e-06
11,2013,2,7.0,10,5. Buses and Coaches,0.000212924860534,4.84978590976e-06,4.0239892769e-06
12,2013,2,7.0,10,6. Rigid HGVs,0.000146727776155,3.71064038518e-06,2.95730797006e-06
13,2013,2,7.0,10,7. Articulated HGVs,0.000250963435974,6.08298978477e-06,5.14323119205e-06
14,2013,2,7.0,15,1. Motorcycles,1.73611101673e-06,2.21446228466e-07,1.48094045471e-07
15,2013,2,7.0,15,2. Petrol Cars,5.83937435295e-06,3.50389939285e-07,1.97647921141e-07
16,2013,2,7.0,15,3. Diesel Cars,1.29622321765e-05,9.46118689171e-07,7.63590207953e-07
17,2013,2,7.0,15,4. LGV,1.80089318746e-05,1.57733381911e-06,1.3069590068e-06
18,2013,2,7.0,15,5. Buses and Coaches,0.000176655419637,4.2170559027e-06,3.42289581567e-06
19,2013,2,7.0,15,6. Rigid HGVs,0.000128757645143,3.52145480065e-06,2.77758181255e-06
20,2013,2,7.0,15,7. Articulated HGVs,0.000222929709707,5.73486067879e-06,4.81250845041e-06
21,2013,2,7.0,20,1. Motorcycles,1.56132875873e-06,2.21446228466e-07,1.48094045471e-07
